analytic_commander_id,display_name,canonical_wikipedia_url,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,dominant_verification_status
acmd_c18b479b8da8,Minkyaw Zeya Thura,https://en.wikipedia.org/wiki/Minkyaw_Zeya_Thura,2,1,1,0,0,verified_broad
acmd_c18b719c9029,Christiaan de Wet,https://en.wikipedia.org/wiki/Christiaan_de_Wet,11,9,2,0,0,verified_broad
acmd_c18d0f0487df,Djamel Okacha,https://en.wikipedia.org/wiki/Djamel_Okacha,2,2,0,0,0,verified_core
acmd_c18d59bc6919,"Frederick II Eugene, Duke of Württemberg",https://en.wikipedia.org/wiki/Frederick_II_Eugene%2C_Duke_of_W%C3%BCrttemberg,2,2,0,0,0,verified_core
acmd_c18d89137ad7,Eccard Freiherr von Gablenz,https://en.wikipedia.org/wiki/Eccard_Freiherr_von_Gablenz,1,1,0,0,0,verified_core
acmd_c18e94bf492a,Jacob D. Cox,https://en.wikipedia.org/wiki/Jacob_D._Cox,3,3,0,0,0,verified_core
acmd_c190dfd80d38,Hans-Valentin Hube,https://en.wikipedia.org/wiki/Hans-Valentin_Hube,7,7,0,0,0,verified_core
acmd_c190f3e15791,Raymond Roger Trencavel,https://en.wikipedia.org/wiki/Raymond_Roger_Trencavel,2,1,0,1,0,structurally_suspect
acmd_c191c802cc9d,Pope Pius V,https://en.wikipedia.org/wiki/Pope_Pius_V,1,0,1,0,0,verified_broad
acmd_c192b75b0e3a,Girolamo Contarini,,1,1,0,0,0,verified_core
acmd_c195f3e36bac,Horst Köhler,https://en.wikipedia.org/wiki/Horst_K%C3%B6hler,1,1,0,0,0,verified_core
acmd_c197be1dc199,Neville Syfret,https://en.wikipedia.org/wiki/Neville_Syfret,3,3,0,0,0,verified_core
acmd_c1986f1f3ef7,Malatestino Novello Malatesta,https://en.wikipedia.org/wiki/Malatestino_Novello_Malatesta,1,1,0,0,0,verified_core
acmd_c199abeef998,Vasily Altfater,https://en.wikipedia.org/wiki/Vasily_Altfater,1,1,0,0,0,verified_core
acmd_c19a523fd0a7,Ivan Kolev,https://en.wikipedia.org/wiki/Ivan_Kolev_%28general%29,3,2,0,1,0,structurally_suspect
acmd_c19a62943ae5,Henry Appleton,https://en.wikipedia.org/wiki/Henry_Appleton_%28Royal_Navy_officer%29,2,2,0,0,0,verified_core
acmd_c19adf996506,Baburam Bhattarai,https://en.wikipedia.org/wiki/Baburam_Bhattarai,1,1,0,0,0,verified_core
acmd_c19ae82ca5d9,Waldemar von Wrangel,https://en.wikipedia.org/wiki/Waldemar_von_Wrangel,2,2,0,0,0,verified_core
acmd_c19b9cf9219f,Friedrich Wilhelm von Lindeiner-Wildau,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_von_Lindeiner-Wildau,1,1,0,0,0,verified_core
acmd_c19d0d7e50f0,Ma Hushan,https://en.wikipedia.org/wiki/Ma_Hushan,3,3,0,0,0,verified_core
