display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,18.0,26.0,53.0,58.0,52.0,53.0,74.0,92.10307298335466,80.063460253841,79.47751057670897,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,9,9,3,12,V=12; D=0; N=0; U=0,B=9; O=3; C=0; W=0,battle_dominant,highly_model_sensitive,
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,13.0,11.0,54.0,33.0,33.0,36.0,23.0,93.30345710627401,80.04676018704073,81.18381206858159,model_sensitive_band,moderate,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,12,6,6,10,V=10; D=0; N=0; U=2,B=12; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,58.0,23.0,56.0,81.0,118.0,75.0,66.0,82.28553137003841,79.85905143620575,77.05065686929414,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",18,13,15,14,13,V=11; D=2; N=0; U=5,B=13; O=5; C=0; W=0,battle_dominant,highly_model_sensitive,
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,early_modern,,309.0,57.0,12.0,11.0,25.0,18.0,,79.78132264529057,85.95602315742596,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",10,10,6,11,2,V=2; D=0; N=0; U=8,B=10; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Tolui,https://en.wikipedia.org/wiki/Tolui,medieval,92.0,104.0,58.0,37.0,36.0,47.0,26.0,76.76696542893725,79.77755511022045,80.87552883544869,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",10,7,6,5,10,V=9; D=1; N=0; U=0,B=7; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,33.0,17.0,59.0,52.0,64.0,74.0,72.0,88.55633802816901,79.67267869071476,79.75194834112669,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,11,5,13,10,V=8; D=1; N=1; U=2,B=11; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,10.0,15.0,60.0,56.0,55.0,79.0,36.0,95.59859154929578,79.66533066132264,79.57526163437987,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",13,12,3,7,13,V=12; D=1; N=0; U=0,B=12; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,55.0,69.0,62.0,45.0,66.0,21.0,37.0,82.86171574903969,79.28523714094855,80.26063237586284,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,8,5,9,8,V=7; D=1; N=0; U=1,B=8; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,30.0,38.0,63.0,86.0,83.0,84.0,62.0,88.84763124199745,79.12692050768203,76.87063014918728,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",19,18,9,4,15,V=11; D=1; N=3; U=4,B=18; O=1; C=0; W=0,battle_dominant,highly_model_sensitive,
Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,world_wars,,341.0,66.0,63.0,62.0,50.0,47.0,,78.86973947895791,78.71821420619017,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",11,4,6,6,10,V=10; D=0; N=0; U=1,B=4; O=7; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
